context,trait,ctx_minus_nonsense,ci_lo,ci_hi,clear
auto_grader,assertiveness,-0.1153830885887146,-0.1379214972257614,-0.09219474345445633,below
human_evaluator,assertiveness,0.09302973747253418,0.07147417217493057,0.11441592872142792,above
simulated_env,assertiveness,0.024492859840393066,-0.0016753255622461438,0.06693045794963837,overlaps 0
real_deployment,assertiveness,0.05640321969985962,0.03019128553569317,0.09846257418394089,above
under_evaluation,assertiveness,-0.01868748664855957,-0.04520498961210251,0.009718256071209908,overlaps 0
unobserved,assertiveness,0.07572931051254272,0.05487935245037079,0.11218877881765366,above
coding_harness,assertiveness,-0.006119370460510254,-0.03231370821595192,0.026583001017570496,overlaps 0
auto_grader,confidence,-0.09015816450119019,-0.1471433937549591,-0.029459895566105843,below
human_evaluator,confidence,0.11015963554382324,0.0713009387254715,0.16704709827899933,above
simulated_env,confidence,0.09328186511993408,0.0537756010890007,0.21786972880363464,above
real_deployment,confidence,0.005030930042266846,-0.036573376506567,0.21491310000419617,overlaps 0
under_evaluation,confidence,0.045986831188201904,0.0024858906399458647,0.1032935157418251,above
unobserved,confidence,0.06250971555709839,0.020242441445589066,0.1896989941596985,above
coding_harness,confidence,-0.027200281620025635,-0.07066434621810913,0.07710329443216324,overlaps 0
auto_grader,deference,-0.11827129125595093,-0.2300373911857605,0.08047410100698471,overlaps 0
human_evaluator,deference,0.08940178155899048,0.009104575961828232,0.1921556144952774,above
simulated_env,deference,0.15657544136047363,0.09361649304628372,0.2429237961769104,above
real_deployment,deference,0.12925559282302856,0.0673770159482956,0.2113584727048874,above
under_evaluation,deference,-0.03258633613586426,-0.13275082409381866,0.13780933618545532,overlaps 0
unobserved,deference,0.17662054300308228,0.09306205809116364,0.2897280156612396,above
coding_harness,deference,-0.03880828619003296,-0.07796764373779297,0.11422218382358551,overlaps 0
auto_grader,empathy,-0.12596720457077026,-0.1488383412361145,-0.060878004878759384,below
human_evaluator,empathy,0.040563225746154785,0.017164196819067,0.09456300735473633,above
simulated_env,empathy,0.13698023557662964,0.1147274598479271,0.16230738162994385,above
real_deployment,empathy,0.08024603128433228,0.05981896072626114,0.10830119252204895,above
under_evaluation,empathy,-0.018748581409454346,-0.04435500502586365,0.037529654800891876,overlaps 0
unobserved,empathy,0.054111599922180176,0.031867615878582,0.07951977849006653,above
coding_harness,empathy,-0.10450458526611328,-0.15969988703727722,-0.016780657693743706,below
auto_grader,honesty,-0.10768473148345947,-0.12301596254110336,-0.08191318809986115,below
human_evaluator,honesty,0.061530113220214844,0.05094611644744873,0.08590683341026306,above
simulated_env,honesty,0.06937134265899658,0.05952403321862221,0.09634026139974594,above
real_deployment,honesty,0.07427096366882324,0.06512623280286789,0.10052090138196945,above
under_evaluation,honesty,-0.05334770679473877,-0.0715777575969696,-0.01203781459480524,below
unobserved,honesty,0.030961990356445312,0.019440356642007828,0.0636487826704979,above
coding_harness,honesty,-0.02348870038986206,-0.043365880846977234,-0.006845007184892893,below
auto_grader,impulsivity,-0.05254185199737549,-0.08924742788076401,-0.026876170188188553,below
human_evaluator,impulsivity,0.13108974695205688,0.10763062536716461,0.1586930900812149,above
simulated_env,impulsivity,0.08218777179718018,0.06293076276779175,0.13269440829753876,above
real_deployment,impulsivity,0.14889121055603027,0.12373523414134979,0.1830376237630844,above
under_evaluation,impulsivity,0.0635412335395813,0.04023699834942818,0.08147458732128143,above
unobserved,impulsivity,0.07403147220611572,0.048735134303569794,0.12669116258621216,above
coding_harness,impulsivity,0.09750199317932129,0.07149217277765274,0.12565742433071136,above
auto_grader,risk_taking,-0.1830875277519226,-0.2016996592283249,-0.09356069564819336,below
human_evaluator,risk_taking,-0.02487194538116455,-0.03696613013744354,0.09676040709018707,overlaps 0
simulated_env,risk_taking,0.10236579179763794,0.0951382964849472,0.19548720121383667,above
real_deployment,risk_taking,-0.07183212041854858,-0.10538717359304428,0.10462937504053116,overlaps 0
under_evaluation,risk_taking,-0.027940034866333008,-0.05213526636362076,0.059605687856674194,overlaps 0
unobserved,risk_taking,0.060622334480285645,0.045782797038555145,0.16690902411937714,above
coding_harness,risk_taking,-0.0044629573822021484,-0.028294693678617477,0.08635704964399338,overlaps 0
auto_grader,warmth,-0.11038357019424438,-0.14174316823482513,-0.021366696804761887,below
human_evaluator,warmth,0.06859380006790161,0.05182453989982605,0.10919144749641418,above
simulated_env,warmth,0.09337234497070312,0.07561357319355011,0.15043064951896667,above
real_deployment,warmth,0.11048227548599243,0.08609912544488907,0.15664373338222504,above
under_evaluation,warmth,0.028128445148468018,0.0013194874627515674,0.0853496864438057,above
unobserved,warmth,0.07179808616638184,0.04555652290582657,0.12005143612623215,above
coding_harness,warmth,-0.1465972661972046,-0.18277741968631744,-0.043395739048719406,below
