context,trait,ctx_minus_nonsense,ci_lo,ci_hi,clear
auto_grader,assertiveness,0.07951641082763672,0.07128995656967163,0.09536882489919662,above
human_evaluator,assertiveness,0.08565932512283325,0.08018825203180313,0.10806852579116821,above
simulated_env,assertiveness,0.07562154531478882,0.06806252896785736,0.09292132407426834,above
real_deployment,assertiveness,0.05561721324920654,0.04979521036148071,0.07327553629875183,above
under_evaluation,assertiveness,0.09259146451950073,0.0874352753162384,0.11120668798685074,above
unobserved,assertiveness,0.09407126903533936,0.08767946809530258,0.11611434072256088,above
coding_harness,assertiveness,0.046073734760284424,0.03782450780272484,0.06613654643297195,above
auto_grader,confidence,0.09078168869018555,0.06695844233036041,0.13102079927921295,above
human_evaluator,confidence,0.10361087322235107,0.0849991962313652,0.14709235727787018,above
simulated_env,confidence,0.09590065479278564,0.07713700085878372,0.12811580300331116,above
real_deployment,confidence,0.0850561261177063,0.06141023337841034,0.12430092692375183,above
under_evaluation,confidence,0.09605449438095093,0.07205045223236084,0.13206695020198822,above
unobserved,confidence,0.11529570817947388,0.09069102257490158,0.15110167860984802,above
coding_harness,confidence,0.07825863361358643,0.053303465247154236,0.11396550387144089,above
auto_grader,deference,0.0754668116569519,0.06370951980352402,0.12047196924686432,above
human_evaluator,deference,0.10810011625289917,0.0877690464258194,0.15265637636184692,above
simulated_env,deference,0.07677727937698364,0.05957421660423279,0.11546070873737335,above
real_deployment,deference,0.029907524585723877,0.01808544434607029,0.0750872939825058,above
under_evaluation,deference,0.10771363973617554,0.08753810077905655,0.14654718339443207,above
unobserved,deference,0.10199850797653198,0.08472948521375656,0.1519441306591034,above
coding_harness,deference,0.033383071422576904,0.011440657079219818,0.07519885152578354,above
auto_grader,empathy,0.02179032564163208,0.01240527629852295,0.06898818910121918,above
human_evaluator,empathy,0.07273125648498535,0.06501679122447968,0.11354080587625504,above
simulated_env,empathy,0.059366822242736816,0.0515168234705925,0.09724317491054535,above
real_deployment,empathy,0.033966779708862305,0.028048189356923103,0.06453915685415268,above
under_evaluation,empathy,0.07172143459320068,0.06622462719678879,0.11197251826524734,above
unobserved,empathy,0.08223909139633179,0.07777158170938492,0.117195263504982,above
coding_harness,empathy,-0.01881474256515503,-0.027196761220693588,0.027168413624167442,overlaps 0
auto_grader,honesty,0.04754912853240967,0.03800874948501587,0.09622074663639069,above
human_evaluator,honesty,0.07005554437637329,0.059826236218214035,0.12381631135940552,above
simulated_env,honesty,0.04764324426651001,0.03610582649707794,0.09693007171154022,above
real_deployment,honesty,0.0287092924118042,0.019522983580827713,0.06984072178602219,above
under_evaluation,honesty,0.06462717056274414,0.054020438343286514,0.10963767766952515,above
unobserved,honesty,0.08326882123947144,0.07598946243524551,0.12473662942647934,above
coding_harness,honesty,-0.014223158359527588,-0.029264910146594048,0.054237108677625656,overlaps 0
auto_grader,impulsivity,0.05546194314956665,0.04982837289571762,0.07668866962194443,above
human_evaluator,impulsivity,0.05819147825241089,0.05250253900885582,0.09442022442817688,above
simulated_env,impulsivity,0.055343449115753174,0.048726048320531845,0.09136955440044403,above
real_deployment,impulsivity,0.038999736309051514,0.033726323395967484,0.061320871114730835,above
under_evaluation,impulsivity,0.05499058961868286,0.05014437437057495,0.08654357492923737,above
unobserved,impulsivity,0.0827823281288147,0.07764357328414917,0.11407467722892761,above
coding_harness,impulsivity,0.04439711570739746,0.03469030559062958,0.07971115410327911,above
auto_grader,risk_taking,0.07561826705932617,0.050732772797346115,0.13082045316696167,above
human_evaluator,risk_taking,0.07064038515090942,0.053234465420246124,0.1367909163236618,above
simulated_env,risk_taking,0.055461108684539795,0.0365571603178978,0.11203903704881668,above
real_deployment,risk_taking,0.04200083017349243,0.01903662458062172,0.0996265709400177,above
under_evaluation,risk_taking,0.05651301145553589,0.040821004658937454,0.11392147094011307,above
unobserved,risk_taking,0.08893650770187378,0.06600425392389297,0.1537177413702011,above
coding_harness,risk_taking,0.041479647159576416,0.01687711477279663,0.0870053842663765,above
auto_grader,warmth,0.07372790575027466,0.0563579797744751,0.11798565089702606,above
human_evaluator,warmth,0.1087384819984436,0.09564688801765442,0.145081028342247,above
simulated_env,warmth,0.08861732482910156,0.06870105117559433,0.13542842864990234,above
real_deployment,warmth,0.06234121322631836,0.048903223127126694,0.100668765604496,above
under_evaluation,warmth,0.1087808609008789,0.09262433648109436,0.1473996639251709,above
unobserved,warmth,0.11401206254959106,0.1014048159122467,0.1556500494480133,above
coding_harness,warmth,0.0274314284324646,0.007693170104175806,0.07646697759628296,above
