pair,trait,cos_between,cos_c1_null,cos_c2_null
auto_grader~human_evaluator,assertiveness,0.9729123115539551,0.9016655683517456,0.9211667776107788
auto_grader~human_evaluator,confidence,0.9668487310409546,0.9329870939254761,0.9507179856300354
auto_grader~human_evaluator,deference,0.9530867338180542,0.9133671522140503,0.9649412631988525
auto_grader~human_evaluator,empathy,0.9703913331031799,0.9032754898071289,0.9354593753814697
auto_grader~human_evaluator,honesty,0.9565280079841614,0.9141968488693237,0.9497014284133911
auto_grader~human_evaluator,impulsivity,0.9667462706565857,0.9056864976882935,0.9595842361450195
auto_grader~human_evaluator,risk_taking,0.9596657752990723,0.9029251337051392,0.955414891242981
auto_grader~human_evaluator,warmth,0.9749400019645691,0.9080120325088501,0.9301505088806152
simulated_env~real_deployment,assertiveness,0.9678192138671875,0.92400062084198,0.9439816474914551
simulated_env~real_deployment,confidence,0.9621285200119019,0.9158923625946045,0.8796805739402771
simulated_env~real_deployment,deference,0.9587022066116333,0.9335978627204895,0.9470488429069519
simulated_env~real_deployment,empathy,0.9799953103065491,0.9460663199424744,0.9559416770935059
simulated_env~real_deployment,honesty,0.9824207425117493,0.9453437328338623,0.9496253728866577
simulated_env~real_deployment,impulsivity,0.9438620805740356,0.9411069750785828,0.9734241962432861
simulated_env~real_deployment,risk_taking,0.8834812641143799,0.9570023417472839,0.8802787065505981
simulated_env~real_deployment,warmth,0.9797487854957581,0.9466675519943237,0.9564410448074341
under_evaluation~unobserved,assertiveness,0.9715880751609802,0.9125046730041504,0.9672411680221558
under_evaluation~unobserved,confidence,0.9722762107849121,0.9076524376869202,0.9541797637939453
under_evaluation~unobserved,deference,0.9752516150474548,0.9451232552528381,0.9601154923439026
under_evaluation~unobserved,empathy,0.9637287855148315,0.9235424995422363,0.9693596363067627
under_evaluation~unobserved,honesty,0.9858834743499756,0.9492807388305664,0.9685627222061157
under_evaluation~unobserved,impulsivity,0.9592441916465759,0.9486924409866333,0.9685361385345459
under_evaluation~unobserved,risk_taking,0.8958274722099304,0.8886045217514038,0.9704762101173401
under_evaluation~unobserved,warmth,0.9653623104095459,0.9232161641120911,0.9696974158287048
