context,trait,ctx_minus_nonsense,ci_lo,ci_hi,clear
auto_grader,assertiveness,-0.07095468044281006,-0.07815727591514587,-0.06405693292617798,below
human_evaluator,assertiveness,-0.051453471183776855,-0.05750156193971634,-0.04524804279208183,below
simulated_env,assertiveness,-0.048619627952575684,-0.05288116633892059,-0.04450880363583565,below
real_deployment,assertiveness,-0.028638601303100586,-0.03177955746650696,-0.025536315515637398,below
under_evaluation,assertiveness,-0.06011557579040527,-0.06758911907672882,-0.05418386310338974,below
unobserved,assertiveness,-0.005379080772399902,-0.007878510281443596,-0.0029069785960018635,below
auto_grader,confidence,0.018492400646209717,0.006083643529564142,0.029885975643992424,above
human_evaluator,confidence,0.03622329235076904,0.02741309255361557,0.04627023637294769,above
simulated_env,confidence,0.0013976693153381348,-0.006138437893241644,0.011568461544811726,overlaps 0
real_deployment,confidence,-0.03481411933898926,-0.04324386268854141,-0.0271188635379076,below
under_evaluation,confidence,-0.006842255592346191,-0.013850542716681957,5.540937854675576e-05,overlaps 0
unobserved,confidence,0.039685070514678955,0.02908424288034439,0.049568064510822296,above
auto_grader,deference,-0.02956324815750122,-0.03811243176460266,-0.021630162373185158,below
human_evaluator,deference,0.022010862827301025,0.014902167022228241,0.02907628007233143,above
simulated_env,deference,-0.009332537651062012,-0.023857370018959045,0.005808830726891756,overlaps 0
real_deployment,deference,0.004118442535400391,-0.005011214409023523,0.01250747125595808,overlaps 0
under_evaluation,deference,0.002192854881286621,-0.009183642454445362,0.014093010686337948,overlaps 0
unobserved,deference,0.017185091972351074,0.008105374872684479,0.027882063761353493,above
auto_grader,empathy,-0.058889925479888916,-0.06248576566576958,-0.05377998948097229,below
human_evaluator,empathy,-0.026706039905548096,-0.03125130012631416,-0.021244073286652565,below
simulated_env,empathy,-0.016099095344543457,-0.019683126360177994,-0.01136950682848692,below
real_deployment,empathy,-0.006223738193511963,-0.009074106812477112,-0.0026808404363691807,below
under_evaluation,empathy,-0.038622915744781494,-0.04378616064786911,-0.03224455937743187,below
unobserved,empathy,0.007194221019744873,0.0030099868308752775,0.012105111964046955,above
auto_grader,honesty,-0.04698723554611206,-0.05241994559764862,-0.04246968775987625,below
human_evaluator,honesty,-0.011482656002044678,-0.01600351557135582,-0.007444118615239859,below
simulated_env,honesty,-0.015840351581573486,-0.02008848823606968,-0.011883500963449478,below
real_deployment,honesty,-0.011558711528778076,-0.01449231244623661,-0.007864856161177158,below
under_evaluation,honesty,-0.011903345584869385,-0.015215776860713959,-0.0077111744321882725,below
unobserved,honesty,0.007378637790679932,0.0042868079617619514,0.01108555682003498,above
auto_grader,impulsivity,-0.06565672159194946,-0.07047808915376663,-0.06208712235093117,below
human_evaluator,impulsivity,-0.011758983135223389,-0.014365051873028278,-0.009693166241049767,below
simulated_env,impulsivity,-0.030236244201660156,-0.03424825891852379,-0.027529336512088776,below
real_deployment,impulsivity,0.002080976963043213,-0.0001195058212033473,0.004618812818080187,overlaps 0
under_evaluation,impulsivity,-0.02265077829360962,-0.025980042293667793,-0.01886782981455326,below
unobserved,impulsivity,-0.0028070807456970215,-0.004790602717548609,-0.0004168865561950952,below
auto_grader,risk_taking,-0.061855196952819824,-0.0746871680021286,-0.04924758896231651,below
human_evaluator,risk_taking,-0.009365439414978027,-0.018179140985012054,-0.0019184972625225782,below
simulated_env,risk_taking,-0.007777988910675049,-0.01845521852374077,-0.0009337303345091641,below
real_deployment,risk_taking,-0.08450162410736084,-0.09437430649995804,-0.07207850366830826,below
under_evaluation,risk_taking,-0.07617580890655518,-0.0860767811536789,-0.06405219435691833,below
unobserved,risk_taking,0.0056958794593811035,-0.0015719665680080652,0.014600101858377457,overlaps 0
auto_grader,warmth,-0.04810434579849243,-0.052774809300899506,-0.042293816804885864,below
human_evaluator,warmth,-0.025965869426727295,-0.03138960897922516,-0.01943506859242916,below
simulated_env,warmth,-0.009448826313018799,-0.013416732661426067,-0.003991509322077036,below
real_deployment,warmth,0.00032466650009155273,-0.0027029409538954496,0.004327121190726757,overlaps 0
under_evaluation,warmth,-0.032900214195251465,-0.03894704952836037,-0.026162831112742424,below
unobserved,warmth,0.013581037521362305,0.008941903710365295,0.019779786467552185,above
