pair,trait,cos_between,cos_c1_null,cos_c2_null
auto_grader~human_evaluator,assertiveness,0.9729123115539551,0.9024636745452881,0.922239363193512
auto_grader~human_evaluator,confidence,0.9668487310409546,0.9329180717468262,0.9506038427352905
auto_grader~human_evaluator,deference,0.9530867338180542,0.9131561517715454,0.9650655388832092
auto_grader~human_evaluator,empathy,0.9703913331031799,0.9035335183143616,0.9358463287353516
auto_grader~human_evaluator,honesty,0.9565280079841614,0.9141209125518799,0.9496250748634338
auto_grader~human_evaluator,impulsivity,0.9667462706565857,0.9057837724685669,0.9595770835876465
auto_grader~human_evaluator,risk_taking,0.9596657752990723,0.9030643701553345,0.9553384184837341
auto_grader~human_evaluator,warmth,0.9749400019645691,0.9080820083618164,0.9301434755325317
simulated_env~real_deployment,assertiveness,0.9678192138671875,0.9243642091751099,0.9445153474807739
simulated_env~real_deployment,confidence,0.9621285200119019,0.9157605171203613,0.8794272541999817
simulated_env~real_deployment,deference,0.9587022066116333,0.933925986289978,0.9475662112236023
simulated_env~real_deployment,empathy,0.9799953103065491,0.9463682174682617,0.9561880826950073
simulated_env~real_deployment,honesty,0.9824207425117493,0.9452998638153076,0.9494936466217041
simulated_env~real_deployment,impulsivity,0.9438620805740356,0.9412205815315247,0.9732765555381775
simulated_env~real_deployment,risk_taking,0.8834812641143799,0.9570236206054688,0.8794451355934143
simulated_env~real_deployment,warmth,0.9797487854957581,0.9466629028320312,0.9562879800796509
under_evaluation~unobserved,assertiveness,0.9715880751609802,0.9130640029907227,0.9675341248512268
under_evaluation~unobserved,confidence,0.9722762107849121,0.9075636267662048,0.9540725350379944
under_evaluation~unobserved,deference,0.9752516150474548,0.9454876184463501,0.9603651165962219
under_evaluation~unobserved,empathy,0.9637287855148315,0.9238982200622559,0.9695999026298523
under_evaluation~unobserved,honesty,0.9858834743499756,0.9491282105445862,0.9684709906578064
under_evaluation~unobserved,impulsivity,0.9592441916465759,0.948538064956665,0.968589723110199
under_evaluation~unobserved,risk_taking,0.8958274722099304,0.8878577947616577,0.9703924655914307
under_evaluation~unobserved,warmth,0.9653623104095459,0.9231343865394592,0.9697064161300659
