context,trait,ctx_minus_nonsense,ci_lo,ci_hi,clear
auto_grader,assertiveness,-0.07033306360244751,-0.07713531702756882,-0.0644385814666748,below
human_evaluator,assertiveness,-0.05055737495422363,-0.05645468458533287,-0.0446331724524498,below
simulated_env,assertiveness,-0.04843252897262573,-0.05257972329854965,-0.044449884444475174,below
real_deployment,assertiveness,-0.02828139066696167,-0.03134425729513168,-0.025084098801016808,below
under_evaluation,assertiveness,-0.05973273515701294,-0.06715045124292374,-0.053873609751462936,below
unobserved,assertiveness,-0.005262613296508789,-0.0076273963786661625,-0.0027711226139217615,below
coding_harness,assertiveness,-0.06236875057220459,-0.07572435587644577,-0.049314338713884354,below
auto_grader,confidence,0.01869046688079834,0.008306361734867096,0.029295407235622406,above
human_evaluator,confidence,0.036376237869262695,0.02628280222415924,0.04929528012871742,above
simulated_env,confidence,0.001532912254333496,-0.006221190094947815,0.010728005319833755,overlaps 0
real_deployment,confidence,-0.03480035066604614,-0.042586661875247955,-0.026659147813916206,below
under_evaluation,confidence,-0.006663978099822998,-0.014839333482086658,0.001592249027453363,overlaps 0
unobserved,confidence,0.03984493017196655,0.030070733278989792,0.05033035948872566,above
coding_harness,confidence,-0.214948832988739,-0.2569875419139862,-0.1625775694847107,below
auto_grader,deference,-0.02908194065093994,-0.03853963315486908,-0.02189459651708603,below
human_evaluator,deference,0.022827446460723877,0.015803275629878044,0.030910925939679146,above
simulated_env,deference,-0.008312106132507324,-0.020899152383208275,0.010249332524836063,overlaps 0
real_deployment,deference,0.005328118801116943,-0.005288419313728809,0.014855856075882912,overlaps 0
under_evaluation,deference,0.003249526023864746,-0.00876861996948719,0.016102200374007225,overlaps 0
unobserved,deference,0.018127024173736572,0.01013331301510334,0.028219014406204224,above
coding_harness,deference,-0.015545248985290527,-0.029401205480098724,-0.007174086291342974,below
auto_grader,empathy,-0.05845320224761963,-0.06262341141700745,-0.05352598428726196,below
human_evaluator,empathy,-0.02614039182662964,-0.0302791316062212,-0.02083313837647438,below
simulated_env,empathy,-0.015618503093719482,-0.019800394773483276,-0.0106294434517622,below
real_deployment,empathy,-0.005798637866973877,-0.008666923269629478,-0.0018494210671633482,below
under_evaluation,empathy,-0.03808850049972534,-0.04577186703681946,-0.031551532447338104,below
unobserved,empathy,0.007613182067871094,0.0036575079429894686,0.013278917409479618,above
coding_harness,empathy,-0.11892622709274292,-0.14781872928142548,-0.09493508189916611,below
auto_grader,honesty,-0.04702448844909668,-0.05165660381317139,-0.04268045723438263,below
human_evaluator,honesty,-0.011520326137542725,-0.016170211136341095,-0.0064756134524941444,below
simulated_env,honesty,-0.015845537185668945,-0.019575022161006927,-0.011711261235177517,below
real_deployment,honesty,-0.011651754379272461,-0.01551352720707655,-0.007423923350870609,below
under_evaluation,honesty,-0.01201719045639038,-0.01632852479815483,-0.007729083299636841,below
unobserved,honesty,0.007325589656829834,0.0038646236062049866,0.010720833204686642,above
coding_harness,honesty,-0.03569519519805908,-0.048447370529174805,-0.02751225046813488,below
auto_grader,impulsivity,-0.06582945585250854,-0.07005304843187332,-0.06127258017659187,below
human_evaluator,impulsivity,-0.012036144733428955,-0.015349959954619408,-0.009607973508536816,below
simulated_env,impulsivity,-0.03039264678955078,-0.03377360478043556,-0.02697063982486725,below
real_deployment,impulsivity,0.0016633272171020508,-0.0010377392172813416,0.004135843366384506,overlaps 0
under_evaluation,impulsivity,-0.0230751633644104,-0.0258648581802845,-0.019377248361706734,below
unobserved,impulsivity,-0.003023505210876465,-0.00513891875743866,-0.0008225855999626219,below
coding_harness,impulsivity,-0.005273759365081787,-0.0079056266695261,-0.0027140986640006304,below
auto_grader,risk_taking,-0.06169611215591431,-0.07830502092838287,-0.05088609829545021,below
human_evaluator,risk_taking,-0.009422063827514648,-0.01695643551647663,-0.0026575708761811256,below
simulated_env,risk_taking,-0.007736861705780029,-0.016809994354844093,-0.0014371987199410796,below
real_deployment,risk_taking,-0.08531534671783447,-0.09501199424266815,-0.07339341193437576,below
under_evaluation,risk_taking,-0.07690268754959106,-0.08499764651060104,-0.06572019308805466,below
unobserved,risk_taking,0.005631983280181885,-0.0022596404887735844,0.012429759837687016,overlaps 0
coding_harness,risk_taking,-0.09711527824401855,-0.11159781366586685,-0.07947418093681335,below
auto_grader,warmth,-0.047818541526794434,-0.05260039120912552,-0.04249002784490585,below
human_evaluator,warmth,-0.0257570743560791,-0.03024817258119583,-0.01928020268678665,below
simulated_env,warmth,-0.00923764705657959,-0.01354505866765976,-0.0042011975310742855,below
real_deployment,warmth,0.00038743019104003906,-0.003194271121174097,0.0043017687276005745,overlaps 0
under_evaluation,warmth,-0.03276616334915161,-0.03997432813048363,-0.024837402626872063,below
unobserved,warmth,0.013805866241455078,0.009068307466804981,0.01988288387656212,above
coding_harness,warmth,-0.10863715410232544,-0.13767746090888977,-0.08280500769615173,below
